Model,Test AUC,Test AUC 95% CI lower,Test AUC 95% CI upper,Temporal AUC,Temporal AUC drop
M0,0.5937618172268908,0.5645397245119169,0.6232950051180512,0.6124100860815218,-0.018648268854631
M1,0.796767331932773,0.7742111232857684,0.8184628330026378,0.7773515192012892,0.0194158127314838
M2,0.6418881302521009,0.6130412151193397,0.669032779965736,0.601194921583271,0.0406932086688298
M3,0.7953361344537815,0.7728880889401469,0.8173514827205716,0.7765968318855391,0.0187393025682424
M1+,0.8540795693277311,0.8347059025515984,0.872503566377667,0.8423489642702724,0.0117306050574587
M4,0.8048319327731093,0.7830779639103346,0.8267927727814117,0.7886561062851304,0.0161758264879788
M5,0.8147,,,,
M4+,0.8572,,,,
M4+-TB,0.8394,,,,
