Comparison,Metric,Estimate,95% CI lower,95% CI upper,P
M3 vs M1,ΔAUC,-0.0014311974789915,-0.0050848117086676,0.0023234138946886,0.4561916805389883
M3 vs M1+,ΔAUC,-0.0587434348739496,-0.0761107929436527,-0.0427151433394906,6.3578031728184214e-12
M3 vs M1,连续NRI,-0.1368191249436175,-0.1772665764546685,-0.0960757780784844,5.619993359573528e-11
M3 vs M1,类别NRI,0.0014483536310329,-0.009021199819576,0.0121786197564276,0.7941650945556646
M3 vs M1,IDI,-0.0020294275071943,-0.0049970624300108,0.0008187038293971,0.1778522023844535
M3 vs M1+,连续NRI,-0.3903134866937303,-0.4280559314388813,-0.3522552999548941,0.0
M3 vs M1+,类别NRI,-0.115179296346414,-0.137573297248534,-0.0933694181326116,0.0
M3 vs M1+,IDI,-0.1152187557161794,-0.1357620712000535,-0.0941469387287134,0.0
