feature,subHR_FG,p_FG,HR_cox,p_cox
sofa_score,1.1498293847731624,5.8943401397523957e-08,1.1001262770058766,0.00032228139994300824
qsofa,0.8747395895598782,0.00017578096041327877,0.9094251472630698,0.0077131443747314515
news,1.3724261190570533,1.6405777897008566e-14,1.331445709945504,6.758040056909534e-12
mews,1.3700334762902506,1.8852938830046386e-17,1.2685312569895082,2.727104557080209e-10
lactate_imp_mean,1.2927024344137135,3.8483120015274305e-43,1.2787942816833817,1.7149088747843196e-38
admission_age,1.2161163870128504,2.4473196256336903e-09,1.29571059853882,4.239664360105719e-15
male,0.9195506594261234,0.0012288324196715573,0.9344763702495221,0.009751863073138904
charlson_comorbidity_index,1.3796592139348252,1.5813565881593515e-28,1.291080751882332,2.3657381491135625e-18
admission_emergency,1.7109908269814198,1.8027549051858869e-59,1.6064970227753261,1.933647395113626e-43
pre_icu_los_h,0.9936549963295936,0.8070107533345103,0.9679559342130489,0.22747916713761648
mech_vent_24h,0.9922316949413937,0.8074223140642354,0.9348131798508823,0.03463940418578318
vaso_24h,1.0683979401455286,0.024366768717290363,1.0551664383280457,0.06744130774314379
site_bloodstream,1.0714976758763832,0.00956968473004894,1.057047339333635,0.04112119048186735
site_other,0.9243473384694184,0.007697270833362014,0.9443205125257211,0.05741544052533502
site_respiratory,1.0443577652441571,0.06547955117006295,1.0433395457617463,0.07270467356164063
site_urinary,0.9503121864194384,0.0727791546475963,0.9520078895829025,0.08591438134489464
z1,0.9895266509467918,0.7822356599145684,0.981902294153586,0.6373885050684964
z2,0.9491822053414835,0.101737021865282,0.9692039143181033,0.33200283587629364
z3,0.9820415890334193,0.6011492395077072,0.9831566853117351,0.6279250061367799
z4,0.9940739299647735,0.8670982407633971,0.9894164377779583,0.7685638794009655
z5,0.995833445595535,0.8938593671237696,0.9864204069333267,0.6677433387677596
z6,0.9449404877300585,0.12083982185060532,0.9535257457322005,0.19788187895076653
z7,1.0126375175294107,0.7545095237245554,1.0313381868667062,0.44368422571830746
z8,1.0751007697401544,0.009381290591197331,1.06645486685785,0.021805035439982735
z9,1.0440033126283685,0.20898295025171645,1.0166433280980607,0.635125786338133
z10,1.0391469979305439,0.3204246469013513,1.0295101815709582,0.4597560772116014
z11,1.0171895865492073,0.6351897863273404,1.011213418840443,0.7576050928064118
z12,0.9844057947449563,0.6421192254264516,0.9676490742821534,0.34281863500334214
z13,1.0793473896139234,0.03395802660589268,1.0805767491995801,0.033437298402974394
z14,1.0012868463215665,0.9690156625480042,0.9992065143844042,0.9808930372258919
z15,0.9618765405036792,0.30768618989326846,0.9495791654612624,0.18283116745604172
z16,1.0306751543572998,0.3334018793304776,1.0300973719839108,0.3496450823552558
