model,tune_auc_raw,tune_auc_cal,tune_brier_raw,tune_brier_cal,youden_threshold
M0,0.5552865675435252,0.5552865675435252,0.1433085408650148,0.1430412162942144,0.1809161443368447
M1,0.8141723500091781,0.8141723500091781,0.1180868420028515,0.1181022448794843,0.1461300245259438
M2,0.6702630575676706,0.6702630575676706,0.1367880585479053,0.1366242260516219,0.1715453155333051
M3,0.8160107877606926,0.8160107877606926,0.1178145038929297,0.1180056869317402,0.135050963812724
M1+,0.863215712853532,0.863215712853532,0.1039654016494751,0.1039232686161995,0.2016144096851349
M4,0.823584812414397,0.823584812414397,0.1163191050291061,0.1166476011276245,0.1605223268270492
