model,stage,calib_intercept,calib_slope,brier
M1,raw,0.09311071516642713,0.9388619312599449,0.12555025301385675
M1,cal,0.14060671517119502,0.9436207808194023,0.12575503378312075
M3,raw,0.08905012763829617,1.1130698361354292,0.12647989238447782
M3,cal,0.1449049766168536,0.9383648729337163,0.12661199926116856
M1+,raw,0.18761522128900154,1.0254358951755258,0.10690391808748245
M1+,cal,0.1715015255620314,0.9658270103148809,0.10668740421533585
