comparison,delta_auc,ci_lo,ci_hi,delong_p,p_joint_iut
M3 vs M1,-0.0014311974789915638,-0.005084811708667652,0.002323413894688688,0.4561916805389883,0.4561916805389883
M3 vs M1+,-0.05874343487394962,-0.07611079294365275,-0.04271514333949066,6.3578031728184214e-12,0.4561916805389883
