item,auc_base,auc_with_ind,delta,ci_lo,ci_hi
可得性指示变量的独立贡献（全队列）,0.8429125138715811,0.8444461340014258,0.0015613571184472936,-0.0016404285578376504,0.004895506749945952
M3 vs M1++指示（锁定测试集）,0.85781118697479,0.7953361344537815,-0.0625701284005332,-0.07951366937812096,-0.04578254263586238
