id,内容,test_auc,delta_vs_m1,ci_lo,ci_hi,备注
S5,Track B(tb32) 替换 Track A 的 M3,0.7827639180672268,-0.013866933856532655,-0.029085601455372895,0.0011529653184925459,
S10,M3 去除乳酸,0.7729109768907563,-0.023950626982914173,-0.03215711193520031,-0.01566475324510746,
S4,完整病例 M3（对比同子集 MICE-M1）,0.803530774295392,-0.0029193100300532997,-0.007304280744668582,0.0020008112105701133,完整病例 n=1797
S9,M3 校准方法对比（测试集 Brier）,,,,,raw 0.1265 / Platt 0.1266 / isotonic 0.1269
