comparison,metric,estimate,ci_lo,ci_hi,p
M3 vs M1,连续NRI,-0.1368191249436175,-0.17726657645466853,-0.09607577807848444,5.6199933595735274e-11
M3 vs M1,类别NRI,0.0014483536310329272,-0.009021199819576005,0.012178619756427606,0.7941650945556646
M3 vs M1,IDI,-0.002029427507194364,-0.004997062430010846,0.0008187038293971427,0.17785220238445354
M3 vs M1+,连续NRI,-0.3903134866937303,-0.4280559314388813,-0.3522552999548941,0.0
M3 vs M1+,类别NRI,-0.11517929634641408,-0.13757329724853407,-0.09336941813261164,0.0
M3 vs M1+,IDI,-0.11521875571617943,-0.1357620712000535,-0.09414693872871341,0.0
