feature,mean_abs_shap
charlson_comorbidity_index,0.4359588
admission_emergency,0.43081078
lactate,0.25891545
mews,0.20249479
news,0.19171004
admission_age,0.16313612
pre_icu_los_h,0.1278552
site_other,0.08295727
sofa_score,0.077518575
site_bloodstream,0.071067765
z2,0.04097063
z8,0.03306153
z4,0.030341208
z10,0.029470824
z3,0.027491087
z14,0.025167715
vaso_24h,0.024953594
z13,0.023391945
z9,0.022793509
z16,0.017704401
z11,0.017639419
z7,0.013604879
mech_vent_24h,0.013249239
z12,0.012314042
qsofa,0.011826348
z15,0.011756519
z5,0.010918511
z1,0.010663179
z6,0.009951991
site_respiratory,0.0064185085
site_urinary,0.003625341
male,0.0020607605
site_abdominal,0.0
