model,temporal_auc,calib_intercept,calib_slope,brier
M1,0.7773515192012892,0.08853483993771036,0.9016055720332211,0.13994548594602504
M3,0.7765968318855391,0.10678788624509317,0.9085111897770765,0.1399227836432721
M1+,0.8430682756180968,0.007639722519516443,0.9421883569901797,0.11953017115592957
